Time,Target_x,Target_y,Target_z,current_x,current_y,current_z,error_x,error_y,error_z,df_x,df_y,df_z,error_int_x,error_int_y,error_int_z,rddot_x,rddot_y,rddot_z,Thrust_physical,thrust_command,phi_des,theta_des,yaw_des,quat_x_command,quat_y_command,quat_z_command,quat_w_command,quat_x_actual,quat_y_actual,quat_z_actual,quat_w_actual,phi_actual,theta_actual,psi_actual,,
1708276122.58571,0,0,0,-0.010849992835582,-0.003473304436023,0.198120136501814,0.010849992835582,0.003473304436023,-0.198120136501814,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002159580455344,0.000359886530209,-0.006444904499744,0.99997683468165,-0.247730517966087,0.039644458435247,-0.738452831478392,-0.71323249140653,0
1708276122.61799,0,0,0,-0.010845335609512,-0.00347034098239,0.198114626539651,0.010845335609512,0.00347034098239,-0.198114626539651,-0.000139856638742,-8.89926015626278E-05,0.000165464329224,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002125927126927,0.000355104722351,-0.006469990600261,0.999976746507697,-0.243871652227004,0.039115239090471,-0.741329960249138,-0.713212655542742,0.000661857316897
1708276122.62814,0,0,0,-0.010843434909682,-0.003471988057853,0.198115170713581,0.010843434909682,0.003471988057853,-0.198115170713581,-0.000155544572232,-1.31937908676385E-05,0.000100154113466,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002142358923112,0.000370957754236,-0.006452947104857,0.999976815812372,-0.245765616930386,0.04092384751395,-0.739372378974142,-0.713214614568893,0.000400616453866
1708276122.63829,0,0,0,-0.010841877008474,-0.003474975069504,0.198119733846114,0.010841877008474,0.003474975069504,-0.198119733846114,-0.00015723538231,8.03311928198401E-05,-6.59119821058138E-05,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002133539878542,0.000361114005818,-0.006458064439992,0.999976805234977,-0.24474797315093,0.039801119273491,-0.739961540760637,-0.71323104184601,-0.000263647928423
1708276122.64828,0,0,0,-0.010842540432319,-0.003472861338949,0.198114769880719,0.010842540432319,0.003472861338949,-0.198114769880719,-8.60118222140992E-05,-9.35372155653399E-06,0.000104661038633,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002132022712196,0.000353196664123,-0.006456184543833,0.999976823437627,-0.244568190302026,0.038895453572277,-0.739748106421176,-0.713213171570588,0.000418644154532
1708276122.65977,0,0,0,-0.010848714133005,-0.003474299605784,0.198120516409244,0.010848714133005,0.003474299605784,-0.198120516409244,0.000124509447744,3.65697837372638E-05,-9.84798480249796E-05,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002122674740131,0.000358371940481,-0.006463859770665,0.999976791899875,-0.243501143075076,0.039493532904064,-0.740626720966052,-0.713233859073279,-0.0003939193921
1708276122.67011,0,0,0,-0.010843392222672,-0.003472394244206,0.198122297777373,0.010843392222672,0.003472394244206,-0.198122297777373,-7.86911028861427E-05,-3.33904666792142E-05,-0.000117660581085,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002137519174015,0.000365099188167,-0.006458327125447,0.999976793593284,-0.245206917773037,0.040254772901568,-0.739990520203691,-0.713240271998544,-0.000470642324339
1708276122.68265,0,0,0,-0.010840122971454,-0.003474214357116,0.198118267592247,0.010840122971454,0.003474214357116,-0.198118267592247,-0.000161403573118,2.78289921917742E-05,2.64869618252151E-05,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002163819922645,0.00034829544666,-0.006433270925167,0.999976904532713,-0.248207310966881,0.038315993940491,-0.737122407456873,-0.713225763332088,0.000105947847301
1708276122.68986,0,0,0,-0.010845311681927,-0.00347363136814,0.198119604897687,0.010845311681927,0.00347363136814,-0.198119604897687,4.10699108781979E-05,2.27738867478566E-06,-2.13288518986954E-05,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002141692245439,0.000370523648486,-0.006459787336689,0.999976773237317,-0.245689181343555,0.040872915537701,-0.740156365315859,-0.713230577631675,-8.53154075947817E-05
1708276122.70036,0,0,0,-0.010845662670572,-0.00348135092904,0.198122848709885,0.010845662670572,0.00348135092904,-0.198122848709885,4.06600218559732E-05,0.000233488835346,-0.000113053916071,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.002140670923589,0.000366853508581,-0.006458679874844,0.999976783930894,-0.245569387391665,0.040453382060573,-0.740030395758467,-0.713242255355585,-0.000452215664285
