Time,Target_x,Target_y,Target_z,current_x,current_y,current_z,error_x,error_y,error_z,df_x,df_y,df_z,error_int_x,error_int_y,error_int_z,rddot_x,rddot_y,rddot_z,Thrust_physical,thrust_command,phi_des,theta_des,yaw_des,quat_x_command,quat_y_command,quat_z_command,quat_w_command,quat_x_actual,quat_y_actual,quat_z_actual,quat_w_actual,phi_actual,theta_actual,psi_actual,,,,,,,,,
1711026032.11128,0,0,0,-0.036540221638557,0.020239914690895,0.234138053350669,0.036540221638557,-0.020239914690895,-0.234138053350669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001564779771846,-0.002866249903186,-0.010449051491734,0.999940074903832,-0.175868114014547,-0.330305373472305,-1.19790820961509
1711026032.11848,0,0,0,-0.036542011635096,0.020243063642257,0.234158183157095,0.036542011635096,-0.020243063642257,-0.234158183157095,0,0,0,-0.039981383388816,0.022156543911285,-76.3080157045799,0.039981383388816,-0.022156543911285,76.3080157045799,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001617201556376,-0.002871886088719,-0.010455838923674,0.999939904375169,-0.18186586336266,-0.331015287541029,-1.19870457302563
1711026032.13045,0,0,0,-0.036548311751892,0.020241058014016,0.234148069202666,0.036548311751892,-0.020241058014016,-0.234148069202666,0,0,0,-0.037210537090629,0.020614789957837,-38.153528798973,0.037210537090629,-0.020614789957837,38.153528798973,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001598150561993,-0.002866966698887,-0.010462084307874,0.999939883797353,-0.179686739167947,-0.330429859534577,-1.19941301796309
1711026032.13559,0,0,0,-0.036537879949833,0.02022539865835,0.234130421898132,0.036537879949833,-0.02022539865835,-0.234130421898132,0,0,0,-0.037210537090629,0.020614789957837,-38.153528798973,0.037210537090629,-0.020614789957837,38.153528798973,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001587464680233,-0.002829700519219,-0.010467991237061,0.999939945151868,-0.178505068115303,-0.326147897734547,-1.20007971744067
1711026032.14442,0,0,0,-0.036548806022349,0.020232774812831,0.234145530358262,0.036548806022349,-0.020232774812831,-0.234145530358262,0,0,0,-0.037210537090629,0.020614789957837,-38.153528798973,0.037210537090629,-0.020614789957837,38.153528798973,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.00157693377142,-0.002821389257413,-0.010462938425056,0.999940038183316,-0.177310001708852,-0.325181997867781,-1.19949572898024
1711026032.15158,0,0,0,-0.036544317519641,0.020228272499357,0.234152334085845,0.036544317519641,-0.020228272499357,-0.234152334085845,0,0,0,-0.034627011650307,0.019178831370132,-19.0760976247871,0.034627011650307,-0.019178831370132,19.0760976247871,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001590588354935,-0.002837868974113,-0.010495931522521,0.999939624152301,-0.178844052032338,-0.327092638688027,-1.20328410417531
1711026032.1594,0,0,0,-0.036541352959153,0.020236692344707,0.234168223566046,0.036541352959153,-0.020236692344707,-0.234168223566046,0,0,0,-0.032167844573815,0.017852169973188,-9.53730078492328,0.032167844573815,-0.017852169973188,9.53730078492328,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001613930650103,-0.002819258218733,-0.010465969274546,0.999939953446254,-0.18155085851489,-0.324982775734004,-1.19985484207695
1711026032.16653,0,0,0,-0.036544681635867,0.020239920715422,0.234161564745456,0.036544681635867,-0.020239920715422,-0.234161564745456,0,0,0,-0.029919266399668,0.016656124455208,-4.76837745874412,0.029919266399668,-0.016656124455208,4.76837745874412,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001634106934143,-0.002853286584706,-0.010466119187053,0.999939822589018,-0.183821878934961,-0.328906213179397,-1.19988491137969
1711026032.17491,0,0,0,-0.03654345290118,0.020227846677517,0.234141669768459,0.03654345290118,-0.020227846677517,-0.234141669768459,0,0,0,-0.027836093876358,0.015455299817954,-2.38501944571763,0.027836093876358,-0.015455299817954,2.38501944571763,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.00155933592767,-0.002818267762588,-0.010467575494218,0.999940026052341,-0.175295791592681,-0.324804004808468,-1.20002079209128
1711026032.1827,0,0,0,-0.03654183074959,0.020223855858442,0.234129252829129,0.03654183074959,-0.020223855858442,-0.234129252829129,0,0,0,-0.025875099138029,0.014304948180015,-1.19350439117335,0.025875099138029,-0.014304948180015,1.19350439117335,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001566843456999,-0.002835118056875,-0.010476207598177,0.999939876283342,-0.176133000273659,-0.326745352067129,-1.20101544599942
1711026032.19125,0,0,0,-0.036534098142515,0.020224804494854,0.234129810778792,0.036534098142515,-0.020224804494854,-0.234129810778792,0,0,0,-0.024024729670312,0.013289562457745,-0.597134561948369,0.024024729670312,-0.013289562457745,0.597134561948369,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001556202882871,-0.002828831008023,-0.010458257407344,0.99994009860577,-0.174927153837198,-0.326009013410281,-1.19895377850063
1711026032.19865,0,0,0,-0.036535806259431,0.020242148747698,0.234153764761008,0.036535806259431,-0.020242148747698,-0.234153764761008,0,0,0,-0.02231949125421,0.012445609905784,-0.297737746238751,0.02231949125421,-0.012445609905784,0.297737746238751,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.00157532893016,-0.002879201277559,-0.010441884470835,0.999940095999487,-0.177063752554451,-0.331800800501481,-1.19709270178041
1711026032.20756,0,0,0,-0.036536023026291,0.020241154850403,0.234152426804708,0.036536023026291,-0.020241154850403,-0.234152426804708,0,0,0,-0.020766061938318,0.011652513267159,-0.148097480823014,0.020766061938318,-0.011652513267159,0.148097480823014,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001528486232925,-0.002847147965344,-0.010459236414709,0.999940079130705,-0.171728960950716,-0.328074792967376,-1.19905997931939
1711026032.21494,0,0,0,-0.036544705010838,0.020230808863368,0.234139922866881,0.036544705010838,-0.020230808863368,-0.234139922866881,0,0,0,-0.019354781536008,0.010783487948936,-0.074513127298262,0.019354781536008,-0.010783487948936,0.074513127298262,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001486082930218,-0.002834908945495,-0.010449208694714,0.999940282660144,-0.166888131596704,-0.326619813222926,-1.19789472194004
1711026032.22362,0,0,0,-0.036546678341051,0.020228422781971,0.234144803098726,0.036546678341051,-0.020228422781971,-0.234144803098726,0,0,0,-0.018049153821794,0.00996986518952,-0.037538359254449,0.018049153821794,-0.00996986518952,0.037538359254449,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,-0.001512482973975,-0.002854626981608,-0.010455881110528,0.999940117232153,-0.169887364535962,-0.328912010131455,-1.19867143186262
